Static block was called
Non-static block was called
10Leonid Kadeniuk	AstronautIntern 	20	100	0
Group position: x=1035.0, y=860.0
Group position: x=1035.0, y=850.0
Group position: x=1035.0, y=840.0
Group position: x=1035.0, y=830.0
Group position: x=1035.0, y=820.0
Group position: x=1035.0, y=830.0
Group position: x=1035.0, y=840.0
Group position: x=1045.0, y=840.0
Group position: x=1055.0, y=840.0
Group position: x=1065.0, y=840.0
Group position: x=1075.0, y=840.0
Group position: x=1085.0, y=840.0
Group position: x=1095.0, y=840.0
Group position: x=1105.0, y=840.0
Group position: x=1115.0, y=840.0
Group position: x=1125.0, y=840.0
Group position: x=1135.0, y=840.0
Group position: x=1145.0, y=840.0
Group position: x=1155.0, y=840.0
Group position: x=1165.0, y=840.0
Group position: x=1175.0, y=840.0
Group position: x=1185.0, y=840.0
Group position: x=1195.0, y=840.0
Group position: x=1205.0, y=840.0
Group position: x=1215.0, y=840.0
Group position: x=1225.0, y=840.0
Group position: x=1235.0, y=840.0
Group position: x=1245.0, y=840.0
Group position: x=1255.0, y=840.0
Group position: x=1265.0, y=840.0
Group position: x=1275.0, y=840.0
Group position: x=1285.0, y=840.0
Group position: x=1295.0, y=840.0
Group position: x=1305.0, y=840.0
Group position: x=1315.0, y=840.0
Group position: x=1325.0, y=840.0
Group position: x=1335.0, y=840.0
Group position: x=1345.0, y=840.0
Group position: x=1345.0, y=850.0
Group position: x=1345.0, y=860.0
Group position: x=1345.0, y=870.0
Group position: x=1345.0, y=880.0
Group position: x=1345.0, y=890.0
